Наименование;Цена;Ед.;Артикул
    Подушка стойки стабилизатора КАВЗ ;564,00 руб.;шт;395772
    Подшипник шкворня ПАЗ (29908) опорный;725,00 руб.;шт;395773
    Покрытие напольное ПАЗ (1,12х5,5м);3 455,00 руб.;шт;395774
    Предохранитель против замерзания ЗИЛ,КАМАЗ (РААЗ);2 568,00 руб.;шт;395775
    Пробка радиатора ПАЗ,ЗиЛ (метал) больш;90,00 руб.;шт;395776
    Прокладка крышки ступицы ПАЗ;52,00 руб.;шт;395777
    Прокладки КПП ЗИЛ-130  (к-т);64,00 руб.;шт;395778
    Проставка переходника ТКР ГАЗ, ПАЗ дв. 245!!!!;349,00 руб.;шт;395779
    Пружина стяжная колодок ПАЗ (мост Канаш);320,00 руб.;шт;395780
    Пыльник рулевого пальца ПАЗ продольной тяги;85,00 руб.;шт;395781
    Пыльник рычага КПП ПАЗ верх (Колпак защитный);136,00 руб.;шт;395782
    Распылитель форсунки 245 дв (335-50) !!!;913,00 руб.;шт;395783
    Распылитель форсунки 245 дв (335-60) !!!;916,00 руб.;шт;395784
    Рассеиватель ПАЗ фонаря бол белый (105х85) заднего хода ;30,00 руб.;шт;395785
    Рассеиватель ПАЗ фонаря бол желт (105х85) указат поворота ;30,00 руб.;шт;395786
    Рассеиватель ПАЗ фонаря бол красный (105х85) стоп сигнала;29,00 руб.;шт;395787
    Рассеиватель ПАЗ фонаря малый белый (105х55) перед габарит;26,00 руб.;шт;395788
    Рассеиватель ПАЗ фонаря малый красный (105х55) зад габарит;35,00 руб.;шт;395789
    Регулятор давления воздуха ПАЗ, МАЗ, ЗИЛ, КамАЗ;2 091,00 руб.;шт;395790
    Регулятор давления воздуха с подкачкой КамАЗ,ЗИЛ,МАЗ,КАМАЗ, ПАЗ (ПААЗ);2 307,00 руб.;шт;395791
    Регулятор тормоза ПАЗ 32053,4234 прямой левый (трещетка) _;3 352,00 руб.;шт;395792
    Регулятор тормозных сил Камаз;3 649,00 руб.;шт;395793
    Рем комп гл торм цил ПАЗ РТИ;22,00 руб.;компл;395794
    Рем комп гл торм цил ПАЗ с поршн;455,00 руб.;шт;395795
    Рем комп защитного клапана ПАЗ двойного РТИ (7 наимен);41,00 руб.;компл;395796
"    Рем комп карбюратора ""Пекар"" К-135 МУ ";755,00 руб.;шт;395797
    Рем комп клапана мех-ма дверей ПАЗ Camozzi (5309343);431,00 руб.;компл;395798
    Рем комп механизма открыв дверей ПАЗ н/о РТИ (Восход);280,00 руб.;компл;395799
    Рем комп механизма открыв дверей ПАЗ с/о РТИ (Восход);259,00 руб.;компл;395800
    Рем комп пневмораспределителя открыв дверей ПАЗ KW-358 РТИ;428,00 руб.;компл;395801
    Рем комп РДВ ПАЗ РТИ с пружин (13 наимен) !!!;465,00 руб.;шт;395802
    Рем комп РДВ ПАЗ/МАЗ с подкачкой с пластик БРТ завод (12 наимен) _;180,00 руб.;шт;395803
    Рем комп РДВ ПАЗ/МАЗ с подкачкой с пластик ООО (12 наимен);52,00 руб.;шт;395804
    Рем комп РДВ ПАЗ/МАЗ с пружин и клапан  (6 наимен) !!!;149,00 руб.;шт;395805
    Рем комп силового цилиндра ГУР ПАЗ-3205 РТИ;246,00 руб.;компл;395806
    Решетка мотолюка ПАЗ большая пластмасс _;650,00 руб.;шт;395807
    Решетка мотолюка ПАЗ малая верхняя пластмасс _;440,00 руб.;шт;395808
    Решетка ПАЗ перед.прав. пластм _;505,00 руб.;шт;395809
    Ролик колодки ЗИЛ Бычок (вращ на оси);164,00 руб.;шт;395810
    Рычаг КПП ПАЗ ниж часть (4-х ступ);1 900,00 руб.;шт;395811
    Рычаг регулир торм колодок ЗИЛ-130 задн. (трещетка ) длинн ;1 082,00 руб.;шт;395812
    Рычаг стеклоочистит ПАЗ Вектор левый;1 650,00 руб.;шт;395813
    Рычаг стеклоочистит ПАЗ Н/О усиленн (шт);1 264,00 руб.;шт;395814
    Рычаг стеклоочистит ПАЗ С/О со щеткой левый (шт) (ЛИАЗ 51 см);1 111,00 руб.;шт;395815
    Рычаг стеклоочистит ПАЗ С/О со щеткой правый (шт) (ЛИАЗ 51 см);1 111,00 руб.;шт;395816
    Сальник ступицы ПАЗ,ЗИЛ передн (112х136) Черный;81,00 руб.;шт;395817
    Сальник хвостовика зад моста ЗИЛ красн (68х95х12/16) ;47,00 руб.;шт;395818
    Спидометр ПАЗ 3205 механич;1 658,00 руб.;шт;395819
    Стеклоочиститель ПАЗ 12В прав/лев в сб  (разворот 3307);4 258,00 руб.;шт;395820
    Стеклоочиститель ПАЗ 24В лев ;2 758,00 руб.;шт;395821
    Стеклоочиститель ПАЗ 24В прав;2 509,00 руб.;шт;395822
    Стремянка балансира 3205 ПАЗ L=223 мм (Канашский мост);266,00 руб.;шт;395823
    Стремянка рессоры ПАЗ 3205 задн  (м20 длина 350мм);656,00 руб.;шт;395824
    Стремянка рессоры ПАЗ 3205 передней (М16 длина 160мм);186,00 руб.;шт;395825
    Стремянка рессоры ПАЗ 4230 (Аврора ) зад  (м20 длина 390мм);579,00 руб.;шт;395826
    Стяжка бензобака ПАЗ;93,00 руб.;шт;395827
    Трос КПП ПАЗ 3204 L=0.97 м с кпп ZF ;2 025,00 руб.;шт;395828
    Трос ручного тормоза ПАЗ 3205 пер (98 см) класс ПРОФЕССИОНАЛ;380,00 руб.;шт;395829
    Трос спидометра ПАЗ-3205/3308 (305 см);341,00 руб.;шт;395830
    Трос спидометра ПАЗ-672,ЗИЛ (227 см);586,00 руб.;шт;395831
    Труба глушит ПАЗ 32053 (Евро-2,3) между глуш и катализатором (фланцы с 2-х сторон);1 521,00 руб.;шт;395832
    Труба глушит ПАЗ 32053 выхлопная левая;2 013,00 руб.;шт;395833
    Труба глушит ПАЗ 32053 приемн лев (фланец-фланец) ;1 746,00 руб.;шт;395834
    Труба глушит ПАЗ 32053 приемн прав (фланец-фланец) ;1 910,00 руб.;шт;395835
    Труба глушит ПАЗ-3205 средняя;480,00 руб.;шт;395836
    Труба приемная ПАЗ-3205 (фланец-хомут) лев;585,00 руб.;шт;395837
    Труба приемная ПАЗ-3205 (фланец-хомут) прав;461,00 руб.;шт;395838
    Трубка воздушная 3205 от компрессора до муфты (визник) (143см/медн 12мм) (гайка- гайка М18х1,5);667,00 руб.;шт;395839
    Трубка компрессора ПАЗ нагнетательная резин 36 см;251,00 руб.;шт;395840
    Трубка компрессора ПАЗ нагнетательная резин 45 см;240,00 руб.;шт;395841
    Трубка насоса ГУРа 3205 63см/10мм;510,00 руб.;шт;395842
    Трубка перепускная дв.245;400,00 руб.;шт;395843
