Наименование;Цена;Ед.;Артикул
    Бендикс 2101-23 КЗАТЭ РЕДУКТОРНЫЙ;525,00 руб.;шт;173261
    Бендикс 2101-23 Ржев РЕДУКТОРНЫЙ;815,00 руб.;шт;173262
    Бендикс 2101-23 Чебоксары РЕДУКТОРНЫЙ;462,00 руб.;шт;173263
    Бендикс 2108 БАТЭ;697,00 руб.;шт;173264
    Бендикс 2108 КЗАТЭ;492,00 руб.;шт;173265
    Бендикс 21083 БАТЭ РЕДУКТОРНЫЙ;780,00 руб.;шт;173266
    Бендикс 21083 КЗАТЭ РЕДУКТОРНЫЙ;670,00 руб.;шт;173267
    Бендикс 21083 Чебоксары РЕДУКТОРНЫЙ;462,00 руб.;шт;173268
    Бендикс 2110 БАТЭ РЕДУКТОРНЫЙ ;820,00 руб.;шт;173269
    Бендикс 2110 КЗАТЭ РЕДУКТОРНЫЙ;513,00 руб.;шт;173270
    Бендикс 2110 Чебоксары РЕДУКТОРНЫЙ;462,00 руб.;шт;173271
    Блок индикации 2110 пгс-2;1 005,00 руб.;шт;173272
    Блок монтажный 2105,07 в сборе инжектор;3 243,00 руб.;шт;173273
    Блок монтажный 2105.07 в сборе ст. обр ;3 090,00 руб.;шт;173274
    Блок монтажный 2108 в сб ст обр ;3 998,00 руб.;шт;173275
    Блок монтажный 2108 ст обр (с евро предох);3 588,00 руб.;шт;173276
    Блок монтажный 2110 в  сборе с реле конт.ламп. ;2 614,00 руб.;шт;173277
    Блок монтажный 2110 в сборе с реле конт.ламп. ;4 030,00 руб.;шт;173278
    Блок монтажный 2114 нов.обр. в сборе;4 596,00 руб.;шт;173279
    Блок монтажный 2115 в сборе  (367.3722) ;4 567,00 руб.;шт;173280
    Блок монтажный 2123 Шевроле-Нива ;2 940,00 руб.;шт;173281
    Блок педали сцепления 2110 ;1 640,00 руб.;шт;173282
    Блок предохранителей 2105,2106 плоские ;525,00 руб.;шт;173283
    Блок предохранителей ГАЗ,ВАЗ (мал) ПР120 ;350,00 руб.;шт;173284
    Блок предохранителей дополнит.21213 (4 реле);380,00 руб.;шт;173285
    Блок управл 21126 Приора (21126-1411020-32) ИТЭЛМА_;8 918,00 руб.;шт;173286
    Блок управл 7.2 ВАЗ 1118 Калина Евро-2 (Т11183-1411020-21) ЭЛКАР_;9 533,00 руб.;шт;173287
    Блок управл иммобилайзера 2110;1 640,00 руб.;шт;173288
    Блок управл отопителя 1118 Калина в сборе;1 743,00 руб.;шт;173289
    Блок управл отопителя 2110 Люкс( 01343-0-0003854-0);2 800,00 руб.;шт;173290
    Блок управл отопителя 2110-12 (с автомат. системой управл.) (01333-0-0003854-00);2 330,00 руб.;шт;173291
    Блок управл электропакетом 1118 Калина (реле);2 204,00 руб.;шт;173292
    Блок управл электропакетом 2190,2192-94 (НПП Итэлма) (реле);1 948,00 руб.;шт;173293
    Блок шестерен КПП 21074 (5-ст) задн.хода (ст.обр.) 15зуб.;890,00 руб.;шт;173294
    Блок шестерен КПП 21213-214 ( 5-ст) задн.хода (нов.обр.) 14зуб.;965,00 руб.;шт;173295
    Блок шестерен КПП 2123 (5 пер)  14зуб.;2 370,00 руб.;шт;173296
    Блок ЭПХХ 2107,2121 для дв.с карб.солекс (7-контакт) 5013 Калуга;230,00 руб.;шт;173297
    Блок ЭПХХ 2107,2121 для дв.с карб.СОЛЕКС с диагност. АСТРО !!!;144,00 руб.;шт;173298
    Блок ЭПХХ 2107,2121 для дв.с карб.СОЛЕКС, АСТРО !!!;81,00 руб.;шт;173299
    Блок ЭПХХ 2108  с диагностикой АСТРО !!!;144,00 руб.;шт;173300
    Блокировка линии выбора заднего хода 1118 Калина ;797,00 руб.;шт;173301
    Болт амортизатора зад 2101-213 в сборе;218,00 руб.;шт;173302
    Болт башмака натяжителя 2101-07 АВТОВАЗ;62,00 руб.;шт;173303
    Болт верхней чашки стойки 2110;11,00 руб.;шт;173304
    Болт генератора 2101-213 в сборе;80,00 руб.;шт;173305
    Болт генератора 2110-15 в сборе;97,00 руб.;шт;173306
    Болт генератора силовой (на диодный мост) М8*110*1,25 (генер. КЗАТЭ);68,00 руб.;шт;173307
    Болт замка зажигания 2108;21,00 руб.;шт;173308
