Наименование;Цена;Ед.;Артикул
    Вал кардан. рулевого управл УАЗ 3160 с ГУР АДС 856мм  клин диам20/кр шлиц;4 223,00 руб.;шт;432093
    Вал кардан. рулевого управл УАЗ 3163 2014 г под ГУР Yubey АДС (320мм   кр шл / мелк шлиц) ;5 806,00 руб.;шт;432094
"    Вал кардан. рулевого управл УАЗ 3163 2014 г под ГУР Yubey ОАО ""УАЗ"" (320мм   кр шл / мелк шлиц)";7 917,00 руб.;шт;432095
    Вал кардан. рулевого управл УАЗ Хантер дв.514  АДС 350мм  клин диам23/кр шлиц;5 177,00 руб.;шт;432096
    Вал кардан. рулевого управл УАЗ ХАНТЕР КПП 5 ст с ГУР АДС 856мм  клин диам23/кр шлиц;4 234,00 руб.;шт;432097
"    Вал кардан. рулевого управл УАЗ ХАНТЕР с ГУР ZF ""Expert"" 315мм шлиц мелк/кр шлиц";4 729,00 руб.;шт;432098
"    Вал кардан. УАЗ-2360 Пикап задн 3-х опорн 1350 мм (раздатка Divgi Warner) ""УАЗ"" /Кардан";16 361,00 руб.;шт;432099
"    Вал кардан. УАЗ-2360 Пикап задн 3-х опорн 1350 мм (раздатка Даймос) ""УАЗ""";14 516,00 руб.;шт;432100
    Вал кардан. УАЗ-2360 Пикап задн 3-х опорн 1498 мм (АДС);10 550,00 руб.;шт;432101
    Вал кардан. УАЗ-3151 задний редук моста 1006 мм (АДС);5 447,00 руб.;шт;432102
    Вал кардан. УАЗ-31512 (КПП 5-ступ) задний мост Тимкен 941 мм (АДС);5 890,00 руб.;шт;432103
    Вал кардан. УАЗ-31512 (КПП 5-ступ) задний мост Тимкен 941 мм (ОАО УАЗ);5 990,00 руб.;шт;432104
    Вал кардан. УАЗ-31512 (КПП 5-ступ) задний редукторный мост 916 мм (АДС);5 343,00 руб.;шт;432105
    Вал кардан. УАЗ-31512 (КПП 5-ступ) передний мост Тимкен 647 мм (АДС);5 866,00 руб.;шт;432106
    Вал кардан. УАЗ-3160 (КПП 4-ступ) задний 978 мм (АДС);4 155,00 руб.;шт;432107
    Вал кардан. УАЗ-3160 (КПП 5-ступ) задний 90 см (АДС) ;5 690,00 руб.;шт;432108
    Вал кардан. УАЗ-3160,ХАНТЕР (КПП 4-ступ) задний 960 мм (АДС) *;5 936,00 руб.;шт;432109
